termino,categoria
# INSULTOS Y OFENSAS GRAVES - Alto riesgo
hijo de puta,palabras_alta
hija de puta,palabras_alta
cabrón,palabras_alta
cabrona,palabras_alta
puto,palabras_alta
puta,palabras_alta
mierda,palabras_alta
jódete,palabras_alta
vete a joder,palabras_alta
que te jodan,palabras_alta
púdrete,palabras_alta
vete a la mierda,palabras_alta
imbécil,palabras_alta
idiota,palabras_alta
estúpido,palabras_alta
estúpida,palabras_alta
retrasado,palabras_alta
retrasada,palabras_alta
mongólico,palabras_alta
mongólica,palabras_alta
tarado,palabras_alta
tarada,palabras_alta
deficiente,palabras_alta
subnormal,palabras_alta
inútil,palabras_alta
basura,palabras_alta
escoria,palabras_alta
lacra,palabras_alta
rata,palabras_alta
cucaracha,palabras_alta
gusano,palabras_alta
# INSULTOS ARGENTINOS Y LUNFARDO - Alto riesgo
la concha de tu madre,palabras_alta
la concha de tu hermana,palabras_alta
la puta que te parió,palabras_alta
hijo de remil putas,palabras_alta
conchudo,palabras_alta
conchuda,palabras_alta
ortiva,palabras_alta
chorro,palabras_alta
turro,palabras_alta
turra,palabras_alta
negro de mierda,palabras_alta
negra de mierda,palabras_alta
cabeza de termo,palabras_alta
cabecita negra,palabras_alta
planero,palabras_alta
planera,palabras_alta
villero,palabras_alta
villera,palabras_alta
negro villero,palabras_alta
negra villera,palabras_alta
cartonero de mierda,palabras_alta
boliviano de mierda,palabras_alta
paraguayo de mierda,palabras_alta
peruano de mierda,palabras_alta
chileno de mierda,palabras_alta
# INSULTOS DISCRIMINATORIOS - Alto riesgo
maricón,palabras_alta
marica,palabras_alta
joto,palabras_alta
jota,palabras_alta
puto maricón,palabras_alta
gay de mierda,palabras_alta
lesbiana de mierda,palabras_alta
tortillera,palabras_alta
bollera,palabras_alta
travesti de mierda,palabras_alta
trans de mierda,palabras_alta
negro de mierda,palabras_alta
sudaca,palabras_alta
indio de mierda,palabras_alta
chino de mierda,palabras_alta
gitano de mierda,palabras_alta
moro de mierda,palabras_alta
judío de mierda,palabras_alta
# INSULTOS FÍSICOS - Alto riesgo
gordo asqueroso,palabras_alta
gorda asquerosa,palabras_alta
obeso de mierda,palabras_alta
obesa de mierda,palabras_alta
feo de mierda,palabras_alta
fea de mierda,palabras_alta
horrible,palabras_alta
monstruo,palabras_alta
aberración,palabras_alta
enano,palabras_alta
enana,palabras_alta
cojo,palabras_alta
coja,palabras_alta
lisiado,palabras_alta
lisiada,palabras_alta
tullido,palabras_alta
tullida,palabras_alta
# INSULTOS SEXUALES - Alto riesgo
zorra,palabras_alta
guarra,palabras_alta
ramera,palabras_alta
prostituta,palabras_alta
perra,palabras_alta
golfa,palabras_alta
furcia,palabras_alta
cualquiera,palabras_alta
putón,palabras_alta
putita,palabras_alta
# INSULTOS MODERADOS - Riesgo medio
pendejo,palabras_media
pendeja,palabras_media
baboso,palabras_media
babosa,palabras_media
gil,palabras_media
boludo,palabras_media
boluda,palabras_media
pelotudo,palabras_media
pelotuda,palabras_media
gilipollas,palabras_media
capullo,palabras_media
tonto,palabras_media
tonta,palabras_media
bobo,palabras_media
boba,palabras_media
bruto,palabras_media
bruta,palabras_media
animal,palabras_media
bestia,palabras_media
salvaje,palabras_media
